종목명,제목_전처리,sentiment_binary
SK하이닉스,시대 수급 붙었습니다 종가 승부는 지금부터,1
SK하이닉스,호가 창 캡춰해서 금감원 고발하면 되느니라,1
SK하이닉스,반대매매,-1
SK하이닉스,장난치고있네,-1
SK하이닉스,가관이네,-1
SK하이닉스,만에 만주 걸려있는거 뭐임,1
SK하이닉스,SK하이닉스 떴습니다,1
SK하이닉스,외쿡애들이 준 기회의 줍줍 인가,1
SK하이닉스,신용주 반대매매 던져버린 개관들,1
SK하이닉스,빠르게 퍼지고 있어 서둘러서 보셔야겠네요,1
SK하이닉스,빚투한 개미들 다 없애기 전엔,1
SK하이닉스,만 가짜돌 빼면,-1
SK하이닉스,참 어이없네,-1
SK하이닉스,호가 장난질 심하네,-1
SK하이닉스,저 정도 물량이면 블록딜이겠지,1
SK하이닉스,내일은 갈 것 같죠 아닙니다 계속 내릴 수,1
SK하이닉스,오늘이 msci 리벨런싱,1
SK하이닉스,개미들 씨를말리는고만,1
SK하이닉스,죽은주식인가보다,1
SK하이닉스,오늘개미만,-1
SK하이닉스,누가이렇게 한국증시 장난치며 노냐,1
SK하이닉스,월욜에 위클리는 왜 처 만들어서,1
SK하이닉스,만 깨야 반대매매 나온다이,1
SK하이닉스,이제부터 나약한 개미는 못알아 남는다,1
SK하이닉스,SK하이닉스 계속 얘기나오던데,1
SK하이닉스,종가,-1
SK하이닉스,반대매매물량이다,1
SK하이닉스,와 단일가 잘못봤나,1
SK하이닉스,만 한번에되고 만 천 한번에,1
SK하이닉스,가즈아,-1
SK하이닉스,근데 이정도면 정말 장하다 생각한다,1
SK하이닉스,분명말햇다 내일종가,1
SK하이닉스,미장선물 비트코인 상승은,1
SK하이닉스,삼똥그룹의 삼똥증권악마늄 완전 쳤,1
SK하이닉스,외인은 오르면 파는데,1
SK하이닉스,피말리고 있다,-1
SK하이닉스,내일 외인이 던지면,1
SK하이닉스,개미들 공매한테 뒤통수 씨게,1
SK하이닉스,탈출 분 남앗습니다,1
SK하이닉스,나스닥 선물 오르는데,1
SK하이닉스,끝난 주식,-1
SK하이닉스,종가 잼나겟네,-1
SK하이닉스,기타법인 누구냐,-1
SK하이닉스,쫄리면 파세요,-1
SK하이닉스,역시 시원하게 말아내렸군,1
SK하이닉스,마이클 버리 리딩방 오픈 홍보,1
SK하이닉스,이넘들아,-1
SK하이닉스,메롱,-1
SK하이닉스,개미들 고점에 많이 물렸내,1
SK하이닉스,전형적인 계단식 하락,1
SK하이닉스,외인이 매일매일,1
SK하이닉스,연초대비 배 올라도,1
SK하이닉스,공포에 털리구 외인은 똥값에 슬금슬금,1
SK하이닉스,기억나요 저 이게임해봤어요,1
SK하이닉스,필독 내일 시 반대매매는 확정입니다,1
SK하이닉스,외기 쌍끄리라,-1
SK하이닉스,혼자 처 오르고 쇼하더니,1
SK하이닉스,오늘 다우 나스닥,-1
SK하이닉스,게임체인져 CXL메모리 양산 삼성,1
SK하이닉스,돈버는 방법,-1
SK하이닉스,하닉 돈벌기 쉽네,1
SK하이닉스,닉스는 오르던 내리던,1
SK하이닉스,외인 매도로 전환하면서 상승이 막히네,1
SK하이닉스,왠 개밥에 도토리,-1
SK하이닉스,미국 연준은 빚투조심하라고 경고하는,1
SK하이닉스,두늦게 뛰어든 개미들만 고점에 모두 물,1
SK하이닉스,오늘 반등 했어야했는데 내일 반대매매로,1
SK하이닉스,지금장서 IQ 이상이거나,1
SK하이닉스,한동안 내리겠죠,-1
SK하이닉스,비쌀때,-1
SK하이닉스,버리 구독 조아요,-1
SK하이닉스,이야 고가대비,-1
SK하이닉스,기술적 반등 조차 기대하기 힘든 이유,1
SK하이닉스,년간 조 이익 나면 공장 하나,1
SK하이닉스,전날 퍼 이런거 아무것도 아닐수도있,1
SK하이닉스,내일 미장 선물보니 오를거 같다잉 근데,1
SK하이닉스,만 구조대 언제 오는지,1
SK하이닉스,삼성창구,-1
SK하이닉스,오늘도 종가베팅 드가보자,1
SK하이닉스,하 바보들 많네 또 비밀을 말해줘,1
SK하이닉스,찢주주의 오징어게임 시작,1
SK하이닉스,한국증시 고질병 또 시작됐네,1
SK하이닉스,긴급속보 하이닉스,-1
SK하이닉스,하이닉스도 이게 끝인가요,1
SK하이닉스,빼고 처올리네,1
SK하이닉스,메모리 원툴 회사,-1
SK하이닉스,팔만에서,-1
SK하이닉스,분명 말햇다 내일종가,1
SK하이닉스,호구닉스,-1
SK하이닉스,억 박은 공무원 살아있냐,1
SK하이닉스,삼성전자 왜 이래,-1
SK하이닉스,젠장,-1
SK하이닉스,쉽지 않습니다,-1
SK하이닉스,신용한번 털고 가실께요,1
SK하이닉스,삼성으로 오세요,-1
SK하이닉스,엔비디아도 프로 오르고,1
SK하이닉스,삼전타령,-1
SK하이닉스,지금 한국장 주도주 하닉,1
SK하이닉스,만원대 하던 주식이 만원이 넘,1
SK하이닉스,빚투 신용 조 증가,1
SK하이닉스,한국주식특징 주일유통기한,1
SK하이닉스,현금 억모았다고 직장관두고,1
SK하이닉스,돈 잃은 주부 대처법 감동실화,1
SK하이닉스,주린이들,-1
SK하이닉스,엔비디아랑 싱크로율이 완전,1
SK하이닉스,삼전을 사라,-1
SK하이닉스,하이닉스,-1
SK하이닉스,삼전으로 지수 주작질,1
SK하이닉스,아주 끝났내 이거,-1
SK하이닉스,ai 거품론 회계 불투명 미 금리 동결인데,1
SK하이닉스,지금 하닉사는애들특징,1
SK하이닉스,삼성전자 뉴로모픽 하바드 석좌교수 사장으로 채용,1
SK하이닉스,하락에서 박스 쳐 놨네,1
SK하이닉스,아내와의 대화,-1
SK하이닉스,역시 이전처럼 삼전 똥이나 얻어 먹는 신세가 되었,1
SK하이닉스,물을 타시요,-1
SK하이닉스,찢이 환율 잡는다고 조심해 응 문재앙 최,1
SK하이닉스,마지막 탈출 기회,-1
SK하이닉스,삼전으로,-1
SK하이닉스,외인들은 왜 삼섬전자만 이뻐하나,1
SK하이닉스,외인 산다고 들어가면 뒤짐,1
SK하이닉스,개미는 밥이다,-1
SK하이닉스,저번주 금욜날 삼전으로 갈아타길 잘 한거 같네,1
SK하이닉스,왜 겁냅니까,-1
SK하이닉스,딱 봐도,-1
SK하이닉스,낚시반등 조심해라 개미들아 개미꼬시기다,1
SK하이닉스,기술적으로 하락 추세임,1
SK하이닉스,형들 지금구간 딱 말해줄게 진지하게 생각해봐,1
SK하이닉스,뭔가 당분간은 재미없을듯,1
SK하이닉스,월일 ISM제조업 지표 공개 이후,1
SK하이닉스,삼전이랑 완전 다르게 움직이네,1
SK하이닉스,얘두라 환율 잡는대,1
SK하이닉스,에혀 기관이 안 받이주면 도 깨지겠네,1
SK하이닉스,외인이 오랜만에 매수인데 매도는 누구,1
SK하이닉스,주식 수익률 만원에서 만원으로 쪼그,1
SK하이닉스,삼성전자,-1
SK하이닉스,소리질러 찢매직,-1
SK하이닉스,물린 찬티들,-1
SK하이닉스,존버는 승리한다,1
SK하이닉스,하방 압력 거세지고 있습니다 대피 탈출,1
SK하이닉스,금일 종가,-1
SK하이닉스,하락추세는 상승추세의 역챠트,1
SK하이닉스,금요일 종가에 사서 아침에 팔았는데,1
SK하이닉스,아빠 왜 우리는 맨날 라면만 먹어,1
SK하이닉스,여기서 고집부리지 말고 빨리 큰집으로 오셔들,1
SK하이닉스,외인이 개미꼬시면서 설거지 차트 만든다,1
SK하이닉스,외인들이,-1
SK하이닉스,조정장에서 많이 줍는게 승리자,1
SK하이닉스,다같이 염라대왕 영접하러가자 찢환율,1
SK하이닉스,종합 주가 하락하면 큰일인가,1
SK하이닉스,보합에 주 받았어요,1
SK하이닉스,금일종가,-1
SK하이닉스,돈쉽게 벌어 집사려던 들,1
SK하이닉스,미국 엔비디아와 하이닉스 월 주 일봉차트,1
SK하이닉스,금요일 마십 오늘 양봉마감한들,1
SK하이닉스,외인들 개미 물량 빼았는 구간인듯,1
SK하이닉스,삼전으로 대세가 기울었는데,1
SK하이닉스,거품주 팔고,-1
SK하이닉스,얘기했던대로 가두리 양식 시작됐습니다,1
SK하이닉스,외인들 밑에서 잘 받아먹네,1
SK하이닉스,초보들 하락추세에선 절대매수금지,1
SK하이닉스,내일종가,-1
SK하이닉스,평생,-1
SK하이닉스,반대매매 터트리겠다는 세력의 강한 의지,1
SK하이닉스,과학이네,-1
SK하이닉스,버티겠나,-1
SK하이닉스,미안합니다 정정합니다,-1
SK하이닉스,역시,-1
SK하이닉스,속보 하이닉스,-1
SK하이닉스,버리가 나댄이후로 이상하게 반도체 거품어쩌구해,1
SK하이닉스,꼬시고 올리고 던지고를,1
SK하이닉스,고물가 고환율 고유가 고부동산,1
SK하이닉스,내년부터 ai폰 나오면 메모리 수요 폭등 예상,1
SK하이닉스,불변의 진리 개미 많은 종목은 못가,1
SK하이닉스,내일부터 반대매매,-1
SK하이닉스,AI 개잡주네,-1
SK하이닉스,중일전쟁벌어지면 우린,1
SK하이닉스,공포의 하이닉스,-1
SK하이닉스,얄팍하게 한호가 위에서 계속 누르네,1
SK하이닉스,응응 금요일 프로에 안사고 왜 이,1
SK하이닉스,게시판 투표함 해봐요 환율맞추기,1
SK하이닉스,악의증권사 삼성만 신한만 마리악마,1
SK하이닉스,투심 약화 오늘 프로는 올려줬어야 가는,1
SK하이닉스,오히려 한동안 바닥 다져주는 쪽이 훨씬 튼튼하,1
SK하이닉스,아파트 년내 최고폭경신 휘발유 원대,1
SK하이닉스,진짜 한국사람들 주식 뭘보고 하는거냐,1
SK하이닉스,반도체 총대장 이제 삼성이다,1
SK하이닉스,개미무덤,-1
SK하이닉스,삼전이 대장이네,1
SK하이닉스,모닝빵의 정체,-1
SK하이닉스,당분간,-1
SK하이닉스,개잡주가 다 되셨군,1
SK하이닉스,더 이상 상승은 없어 보임,1
SK하이닉스,삼전이 악성매물 덜해서 잘가네,1
LG에너지솔루션,종가 장난질보소,-1
LG에너지솔루션,계좌 녹는다,-1
LG에너지솔루션,피말리고 있다,-1
LG에너지솔루션,우린 더러워서 빠진다,-1
LG에너지솔루션,역시 저점갱신의 신,1
LG에너지솔루션,년반 물려있다가 탈출해서 다행이네,1
LG에너지솔루션,내일 상승 갭 이상 예상합니다,1
LG에너지솔루션,이번 조정은 단기조정이 아니라 중기 조정,1
LG에너지솔루션,지난 주에는,-1
LG에너지솔루션,아직도,-1
LG에너지솔루션,주님께서 만원 까지 폭락 한다고 말씀하셨습니,1
LG에너지솔루션,공매 잡것드라,-1
LG에너지솔루션,방산은 우크라 종전으로 끝났다 이제 곧,1
LG에너지솔루션,앞으로 내려갈일 뿐,1
LG에너지솔루션,역시 희대의 사기개잡주답군,1
LG에너지솔루션,원이 마지막 희망이다,-1
LG에너지솔루션,미 이차전지 금욜 폭등 실시간 테슬라도 급등 중,1
LG에너지솔루션,대량 공매순보유자 만기 곳,1
LG에너지솔루션,에스와이,-1
LG에너지솔루션,순식간에 상승폭 다 반납이네요,1
LG에너지솔루션,끝인가요,-1
LG에너지솔루션,아이고 욕심내다 수익률 떨어졌내,1
LG에너지솔루션,위대한기업은 함부로 파는거 아니다,1
LG에너지솔루션,아주 개 주접을 떨어라 올려 놓은거 도로 다 빼,1
LG에너지솔루션,머여,-1
LG에너지솔루션,이차전지까지 상승은 못시키겠다,1
LG에너지솔루션,가즈아,-1
LG에너지솔루션,그래 떨어져라 엘지,-1
LG에너지솔루션,개미들이 사랑하는 종목,1
LG에너지솔루션,연일 망해 가는군,1
LG에너지솔루션,코스피 위 엘지 에너지 솔루션,1
LG에너지솔루션,삼성SDI보다 못난 넘,1
LG에너지솔루션,차 전지주들은 끝났다,1
LG에너지솔루션,공매도세력들 매수구간,1
LG에너지솔루션,삼성sdi 원 내릴때,1
LG에너지솔루션,대책이 없구나,-1
LG에너지솔루션,테슬라 시외 상승 알버말발 금요일 오늘도,1
LG에너지솔루션,개잡주였네,-1
LG에너지솔루션,박순혁 대머리 예언 딱 반대로 되었네,1
LG에너지솔루션,공매도 대장 오늘 총공격이네,1
LG에너지솔루션,오늘 삼성조정올때 깨진다에 한표,1
LG에너지솔루션,차전지 섹터 전체가 빠지는데,1
LG에너지솔루션,연말까지,-1
LG에너지솔루션,아직도 안팔았뇨,1
LG에너지솔루션,엔솔 만원,-1
LG에너지솔루션,흡성대법 시전,-1
LG에너지솔루션,개관넘들 한국주식 붕괴시킨다,1
LG에너지솔루션,얘는 오른것도 없는데,1
LG에너지솔루션,오늘도,-1
LG에너지솔루션,중국 CATL 에서 월 나트륨 배터리 양산,1
LG에너지솔루션,이죄명 탄핵시급,1
LG에너지솔루션,나스닥을 하는 이유가 있네,1
LG에너지솔루션,아 층있어요,-1
LG에너지솔루션,충격이네 아,-1
LG에너지솔루션,추매하기 드럽게 싫어지네,1
LG에너지솔루션,줜나게 빼네,-1
LG에너지솔루션,징글징글하게 움직이네,1
LG에너지솔루션,환율 폭등으로 원가 상승 적자전환,1
LG에너지솔루션,아오 신한 공매도 잡긋들,1
LG에너지솔루션,진짜 와르르인가,-1
LG에너지솔루션,공매도 승,-1
LG에너지솔루션,오를때는 찌끔 오르는데 내릴때는 무섭게,1
LG에너지솔루션,공매들,-1
LG에너지솔루션,기업을 보고 투자를한건 맞는데,1
LG에너지솔루션,월 양극재 판매 또 감소,1
LG에너지솔루션,고환율 배터리 기업에 치명타,1
LG에너지솔루션,정부가 고환율을 잡지 못 하면,1
LG에너지솔루션,년을 기점으로 내연기관차와 전기차 생,1
LG에너지솔루션,내일은 오르겠지,1
LG에너지솔루션,금리 인하 시사 에 뉴욕 증시 들썩 다,1
LG에너지솔루션,이평선이,-1
LG에너지솔루션,공매도잔액확인방법,1
LG에너지솔루션,또람윤함량미달는 별 명 이 개,1
LG에너지솔루션,윤다까무라 사형시키기 전에 은닉자산 몰수,1
LG에너지솔루션,다음역 만원,-1
LG에너지솔루션,머니을 준비하라 차전지 분수령 공개,1
LG에너지솔루션,Ai로 인해 해고 급증 금리 내려도 물가,1
LG에너지솔루션,일 초 혁신 경제 차 계획 발표,1
LG에너지솔루션,머니을 준비하라 년 급성장,1
LG에너지솔루션,아직도 쫄아있는 호구들 듣거라,1
LG에너지솔루션,이차전지 분기부터 줄적자 난다,1
LG에너지솔루션,미 배터리 공급과잉 심각,1
LG에너지솔루션,엔솔과 배터리 납품 계약 했다는 오라,1
LG에너지솔루션,차전지도 화학처럼 케파를 줄여야,1
LG에너지솔루션,오늘의 공매 현황,1
LG에너지솔루션,공매세력은 우리보다 정보력 빠르다,1
LG에너지솔루션,Lg엔송 공매 대량보유자,1
LG에너지솔루션,미 배터리 시장 폭망각,1
LG에너지솔루션,자사주소각과 배당을 합시다,1
LG에너지솔루션,겨울이라 그런가 너무 미끄러져 내려부,1
LG에너지솔루션,생각만큼 안떨어 지니까,1
LG에너지솔루션,빨리 팔고,-1
LG에너지솔루션,쫄보들 잘들어,1
LG에너지솔루션,그래도 면 선방한거네,1
LG에너지솔루션,만까지 내려오겠네,1
LG에너지솔루션,우리나라 주식은 아직도 밑바닥인듯,1
LG에너지솔루션,고마워 해라 제발,-1
LG에너지솔루션,적정가 만원 이하,-1
LG에너지솔루션,제약 바이오로 갈아탈때,1
LG에너지솔루션,끝났다,-1
LG에너지솔루션,음 이제 들어왔는데,1
LG에너지솔루션,머니을 준비하라,-1
LG에너지솔루션,화재폭발없는 전기차배터리 개발하면 노벨상에,1
LG에너지솔루션,원 주 매수,-1
LG에너지솔루션,짜이밍효과 죽이네,1
LG에너지솔루션,저거 공시 뭐라고 떠드는 거냐,1
LG에너지솔루션,미증시영향으로 기회줄때 매수가 고수다,1
LG에너지솔루션,개사기국장 반도체 폭등해도하락,1
LG에너지솔루션,오후장 반등 예상,-1
LG에너지솔루션,아니 웃긴게 얘는 어제 장 좋을때 오른것도,1
LG에너지솔루션,올해 안으로,-1
LG에너지솔루션,급등 주의보,-1
LG에너지솔루션,장 시작하면 바로,-1
LG에너지솔루션,형들 이거 언제깨져,1
LG에너지솔루션,올파,-1
LG에너지솔루션,금요일하락예상적중,1
LG에너지솔루션,오를땐 퍼오르더니,1
LG에너지솔루션,미증시하락과 무슨 관련있나,1
LG에너지솔루션,반도체 다음은 차전지다,1
LG에너지솔루션,오늘,-1
LG에너지솔루션,Ai많이 올랐다 하지만,1
LG에너지솔루션,엔비디아 빼고 거의 망하는 게임,1
LG에너지솔루션,반도체가 죽어야 차전지가 살아남,1
LG에너지솔루션,종합 천 돈벌라문,-1
LG에너지솔루션,만원까지 빠지겠구만,1
LG에너지솔루션,미국 내 배터리 생산 능력 년도 이후,1
LG에너지솔루션,지금은 날씨가 춰서,1
LG에너지솔루션,뭐냐 이 잡주는,1
LG에너지솔루션,내일 금요일이다 하락 각,1
LG에너지솔루션,청약때 팔고 재진입할 각이 안보이는데,1
LG에너지솔루션,올리는척이라했g,1
LG에너지솔루션,도요타 북미 차전지 캐파 확대 하하하 뭔,1
LG에너지솔루션,공매도 집계,-1
LG에너지솔루션,종가에 매수 시초가 시간내 매도,1
LG에너지솔루션,심각하다,-1
LG에너지솔루션,SDI가짱이다,-1
LG에너지솔루션,이야,-1
LG에너지솔루션,판단법,-1
LG에너지솔루션,트럼프대통령도 배터리산업을 언급하셨음,1
LG에너지솔루션,LG엔솔 추가매수 GO GO,1
LG에너지솔루션,LG는 보지도마라,1
LG에너지솔루션,월봉을 봐라 이번달은 조정이다 빠르게 가자,1
LG에너지솔루션,신한 OOO들이,-1
LG에너지솔루션,가격 조정은 다 받았아 이제 기간 조정 좀받다,1
LG에너지솔루션,전량매도,-1
LG에너지솔루션,단독 LG전자 씨케이솔루션 SFA LG,1
LG에너지솔루션,장초팔고 잠마감에사고,1
LG에너지솔루션,하이닉스 보면 현타 안와요,1
LG에너지솔루션,장초반오르는척떨어지겠네,1
LG에너지솔루션,리튬 값이 폭등인데,1
LG에너지솔루션,미국 조선에 투자한 한국 기업은 년후 폭,1
LG에너지솔루션,특징주 씨케이솔루션 LG엔솔 E,1
LG에너지솔루션,오늘 얼마나 가려나,-1
LG에너지솔루션,데이터센터의 매출이 폭등한거네요,1
LG에너지솔루션,지금은,-1
LG에너지솔루션,엔비디아 실적해소 알버말 신고가,1
LG에너지솔루션,만원이 보인다,-1
LG에너지솔루션,하락추세진입 만초반예상됨,1
LG에너지솔루션,월 일부터 달러환전 제한,1
LG에너지솔루션,LG에너지솔루션 kospi 공매도잔액 등,1
LG에너지솔루션,뇌가없나,-1
LG에너지솔루션,EU 배터리 독립 에 조억,1
LG에너지솔루션,코스피 나스닥 이격 과다 시간이 필요하다,1
LG에너지솔루션,북미 도요타자동차 차전지 캐파를 늘리나,1
LG에너지솔루션,Sdi vs Lg 당연 삼성아니냐,1
LG에너지솔루션,마지막 매수 기회,-1
LG에너지솔루션,역시 LG는 삼류 SDI가 정답인,1
LG에너지솔루션,아싸 개인털엇다,-1
LG에너지솔루션,정신 못차리는 주주들,1
LG에너지솔루션,정신못차리고,-1
LG에너지솔루션,꽉잡고 있어야 합니다 그래야,1
